epoch,score,avg_reward_per_step,num_episodes
0,0.717898698,0.0002393,3
1,-0.205916968,-6.86e-05,3
2,-0.820449196,-0.000273483,3
3,-1.538177058,-0.000512726,3
4,-5.544049378,-0.001848016,3
5,-4.64244832,-0.001547483,3
6,-6.873808284,-0.002291269,3
7,-7.385104373,-0.002461701,3
8,-6.052053603,-0.002017351,3
9,-5.023231947,-0.001674411,3
10,-7.870984156,-0.002623661,3
11,-10.22257641,-0.003407525,3
12,-17.12576232,-0.005708587,3
13,-16.91403085,-0.00563801,3
14,-19.25636179,-0.006418787,3
15,-19.35359039,-0.006451197,3
16,-20.98904541,-0.006996348,3
17,-16.7102388,-0.00557008,3
18,-24.19872981,-0.008066243,3
19,-35.41553064,-0.011805177,3
20,-30.14625729,-0.010048752,3
21,-26.13772107,-0.008712574,3
22,-32.46891064,-0.01082297,3
23,-28.72678148,-0.009575594,3
24,-33.79939305,-0.011266464,3
25,-29.83945199,-0.009946484,3
26,-31.2317396,-0.01041058,3
27,-87.1007433,-0.029033581,3
28,-8.687151399,-0.002895717,3
29,-12.16485404,-0.004054951,3
30,-11.35867272,-0.003786224,3
31,-18.37072574,-0.006123575,3
32,-12.54439588,-0.004181465,3
33,-16.14209286,-0.005380698,3
34,-16.73982716,-0.005579942,3
35,-18.97830897,-0.006326103,3
36,-15.70817674,-0.005236059,3
37,-15.11663754,-0.005038879,3
38,-16.2038055,-0.005401269,3
39,-18.18667766,-0.006062226,3
40,-14.54924934,-0.00484975,3
41,-11.46616333,-0.003822054,3
42,-13.10894248,-0.004369647,3
43,-10.88690934,-0.00362897,3
44,-20.89922025,-0.006966407,3
45,-23.24257613,-0.007747525,3
46,-31.898832,-0.010632944,3
47,-36.03937982,-0.012013127,3
48,-24.08393277,-0.008027978,3
49,-55.6714546,-0.018557152,3
50,-63.17117792,-0.021057059,3
51,-68.63070842,-0.022876903,3
52,-80.49154033,-0.026830513,3
53,-73.84334898,-0.02461445,3
54,-74.98428041,-0.02499476,3
55,-80.92370334,-0.026974568,3
56,-78.97581693,-0.026325272,3
57,-74.63697199,-0.024878991,3
58,-72.27897816,-0.024092993,3
59,-57.49877629,-0.019166259,3
60,-49.64093688,-0.016546979,3
61,-39.97933696,-0.013326446,3
62,-41.9788962,-0.013992965,3
63,-44.47385416,-0.014824618,3
64,2.575812682,0.000858604,3
65,-123.7053451,-0.041235115,3
66,-16.7688996,-0.005589633,3
67,-52.67094892,-0.017556983,3
68,-45.62688959,-0.015208963,3
69,-53.71913142,-0.017906377,3
70,-52.56686634,-0.017522289,3
71,-73.98805737,-0.024662686,3
72,-70.75775591,-0.023585919,3
73,-90.03019764,-0.030010066,3
74,-90.40527255,-0.030135091,3
75,-73.57569871,-0.024525233,3
76,-58.28848194,-0.019429494,3
77,-80.14362091,-0.02671454,3
78,-72.71609028,-0.024238697,3
79,-82.42771315,-0.027475904,3
80,-105.1042007,-0.035034734,3
81,42.41656733,0.014138856,3
82,116.7579329,0.038919311,3
83,-11.71454545,-0.003904848,3
84,-2.431784491,-0.000810595,3
85,-0.720611459,-0.000240204,3
86,-189.2091581,-0.063069719,3
87,-115.6558702,-0.038551957,3
88,87.8799394,0.029293313,3
89,-211.3589021,-0.070452967,3
90,-123.1563573,-0.041052119,3
91,44.27413523,0.014758045,3
92,46.12894122,0.015376314,3
93,-65.66430008,-0.0218881,3
94,5.443896049,0.001814632,3
95,-148.7115634,-0.049570521,3
96,-85.74547665,-0.028581826,3
97,-186.8714188,-0.062290473,3
98,-191.0738522,-0.063691284,3
99,-195.9659215,-0.065321974,3
100,-57.31274017,-0.019104247,3
101,-169.8662686,-0.05662209,3
102,-152.2309422,-0.050743647,3
103,-162.3867429,-0.054128914,3
104,-144.6139661,-0.048204655,3
105,-176.2066478,-0.058735549,3
106,-181.0725598,-0.06035752,3
107,-169.5025668,-0.056500856,3
108,35.49440262,0.011831468,3
109,127.7335881,0.042577863,3
110,-170.9174365,-0.056972479,3
111,-182.0806514,-0.06069355,3
112,-201.6148192,-0.06720494,3
113,-175.461837,-0.058487279,3
114,-203.391307,-0.067797102,3
115,-182.4889232,-0.060829641,3
116,-173.2087225,-0.057736241,3
117,-173.8610031,-0.057953668,3
118,-172.1164467,-0.057372149,3
119,-180.9568312,-0.060318944,3
120,-244.5152324,-0.081505077,3
121,-242.0728625,-0.080690954,3
122,-234.5742727,-0.078191424,3
123,-239.2873445,-0.079762448,3
124,-213.3847783,-0.071128259,3
125,-213.0738591,-0.07102462,3
126,-210.6055962,-0.070201865,3
127,-184.9265434,-0.061642181,3
128,-236.843861,-0.078947954,3
129,-238.0328324,-0.079344277,3
130,-247.8529958,-0.082617665,3
131,-214.6498877,-0.071549963,3
132,-219.6499684,-0.073216656,3
133,-207.6507548,-0.069216918,3
134,133.8118695,0.044603957,3
135,139.2025845,0.046400861,3
136,-183.1703638,-0.061056788,3
137,-180.4645079,-0.060154836,3
138,-208.7909105,-0.06959697,3
139,-204.5921764,-0.068197392,3
140,-224.0980986,-0.074699366,3
141,-216.7844149,-0.072261472,3
142,-198.5467986,-0.066182266,3
143,-137.4234986,-0.045807833,3
144,-125.5054989,-0.041835166,3
145,219.7918542,0.073263951,3
146,180.6044761,0.060201492,3
147,-182.3797357,-0.060793245,3
148,-224.8288455,-0.074942948,3
149,-215.3442464,-0.071781415,3
150,562.1716934,0.187390564,3
151,310.7580204,0.103586007,3
152,341.9404467,0.113980149,3
153,648.2769919,0.216092331,3
154,424.0779905,0.14135933,3
155,321.7710248,0.107257008,3
156,646.1836911,0.215394564,3
157,605.4254333,0.201808478,3
158,910.0597606,0.303353254,3
159,963.1068657,0.321035622,3
160,924.0744787,0.308024826,3
161,965.8815749,0.321960525,3
162,990.2801796,0.330093393,3
163,951.3994096,0.317133137,3
164,-46.79095096,-0.015596984,3
165,681.5040717,0.227168024,3
166,930.04847,0.310016157,3
167,608.4220337,0.202807345,3
168,599.7050465,0.199901682,3
169,1010.802957,0.336934319,3
170,1025.258923,0.341752974,3
171,1077.57423,0.35919141,3
172,1045.552203,0.348517401,3
173,1062.00829,0.354002763,3
174,1010.235693,0.336745231,3
175,1085.201062,0.361733687,3
176,1081.406128,0.360468709,3
177,1042.899849,0.347633283,3
178,1038.805646,0.346268549,3
179,976.758711,0.325586237,3
180,1018.439913,0.339479971,3
181,989.9007835,0.329966928,3
182,928.4856621,0.309495221,3
183,939.7496558,0.313249885,3
184,911.2982686,0.30376609,3
185,936.2967403,0.312098913,3
