epoch,score,avg_reward_per_step,num_episodes
0,64.4178045,0.031149809,28
1,143.3976485,0.066945681,23
2,87.56106636,0.042259202,36
3,71.21113703,0.034754093,47
4,64.91689965,0.031543683,53
5,61.94735892,0.029940724,56
6,73.09770212,0.035092512,51
7,205.0015068,0.097341646,23
8,204.0570763,0.096709515,23
9,204.6817922,0.097189835,23
10,204.7188283,0.097811194,23
11,201.6118113,0.097256059,23
12,203.3999857,0.097694518,23
13,206.3141457,0.097732897,23
14,204.6964539,0.097196797,23
15,201.6818833,0.097009083,23
16,205.0912768,0.097291877,23
17,202.5660609,0.097247269,23
18,206.4295263,0.097097614,23
19,207.1886072,0.101067613,22
20,210.6730133,0.101431398,22
21,217.3198402,0.102946395,22
22,216.4772258,0.10274192,22
23,221.0436557,0.107931472,21
24,218.7102864,0.102584562,22
25,212.2700188,0.10195486,22
26,211.0375621,0.102098482,22
27,214.568738,0.102861332,22
28,216.8404389,0.103061045,22
29,220.9502104,0.10397657,22
30,254.1855258,0.119504243,20
31,244.4380304,0.11757481,20
32,262.3944746,0.12774804,19
33,279.0427522,0.130332906,19
34,294.2508051,0.140253005,18
35,288.6554585,0.138643352,18
36,305.2274263,0.141113003,18
37,302.4288084,0.147310671,17
38,297.7289973,0.145021431,17
39,303.759032,0.146814419,17
40,320.2709095,0.150503247,17
41,330.9138169,0.154056712,17
42,336.9438004,0.155488602,17
43,343.2362984,0.164938154,16
44,357.8442497,0.168001995,16
45,367.3018077,0.168255523,16
46,375.6494437,0.179908737,15
47,383.9530625,0.180939238,15
48,384.1946763,0.179866421,15
49,390.1316765,0.179370886,15
50,389.7423617,0.179027268,15
51,402.3995638,0.189186443,14
52,421.6824547,0.200419418,13
53,423.6495164,0.20456278,13
54,440.0928329,0.20603597,13
55,516.0384208,0.229554458,12
56,641.8683492,0.30434725,9
57,643.5982436,0.301169042,9
58,662.9527258,0.313452825,9
59,636.0606197,0.302741847,10
60,662.4238629,0.319857008,9
61,649.1687238,0.298605669,10
62,670.1652968,0.325639114,9
63,667.1083868,0.317217493,9
64,862.4500938,0.380940854,8
65,680.0959244,0.319293861,9
66,649.8984579,0.316714648,9
67,654.4983604,0.288198309,10
68,654.0611026,0.287625815,10
69,655.3590281,0.291789416,10
70,656.9815412,0.288783095,10
71,1022.209466,0.443282509,7
72,1029.910518,0.446041801,7
73,1245.1674,0.526275317,6
74,986.3638669,0.44291148,7
75,969.2313089,0.436197709,7
76,1195.217259,0.516069628,6
77,897.4218935,0.427140359,7
78,972.9438861,0.427855711,7
79,1199.027299,0.532191433,6
80,974.1658266,0.448098356,7
81,970.8556041,0.445346607,7
82,954.6312574,0.445881017,7
83,955.0911771,0.455238883,7
84,956.7496867,0.451936555,7
85,960.16948,0.449728094,7
86,1064.534876,0.516764503,6
87,1291.376187,0.604576867,5
88,1205.319433,0.504740131,6
89,1142.406935,0.514829624,6
90,1208.404038,0.5088017,6
91,1124.080155,0.521614921,6
92,1081.867404,0.524923534,6
93,951.7560479,0.453001451,7
94,952.9135132,0.451831917,7
95,887.7471776,0.40260643,8
96,913.0481744,0.39853696,8
97,845.3414988,0.399877719,8
98,841.587941,0.397537998,8
99,694.1009687,0.306311107,10
100,694.3832424,0.306435676,10
101,738.5717406,0.345611484,9
102,890.5651209,0.403518405,8
103,810.1776286,0.355653042,9
104,948.1761036,0.456732227,7
105,970.8026987,0.453011059,7
106,967.6813324,0.454310485,7
107,988.4664772,0.455304688,7
108,1059.271502,0.458956457,7
109,1186.242429,0.537247477,6
110,1340.425507,0.63197808,5
111,1068.857727,0.445171898,7
112,1232.042218,0.521830672,6
113,1555.383261,0.626412912,5
114,1249.7418,0.523123399,6
115,1144.685888,0.528723274,6
116,967.3950191,0.453962937,7
117,1246.832608,0.524540432,6
118,920.9648573,0.400419503,8
119,880.6398101,0.4060119,8
120,833.5496265,0.403655993,8
121,940.9268719,0.454993652,7
122,954.747633,0.448870537,7
123,1039.981637,0.452756481,7
124,1206.467256,0.523640302,6
125,1792.067838,0.756146767,4
126,2314.94953,0.990140945,3
127,2814.279431,0.938093144,3
128,2696.734906,0.898911635,3
129,2603.11781,0.867705937,3
130,2324.581486,0.853057426,3
