epoch,score,avg_reward_per_step,num_episodes
0,-0.4736125870326469,-0.0001578708623442,3
1,-0.9422656883672244,-0.000314088562789,3
2,-1.0195540727557315,-0.0003398513575852,3
3,-1.1807325355584124,-0.0003935775118528,3
4,-1.1002499886488375,-0.0003667499962162,3
5,-1.5453927750781056,-0.000515130925026,3
6,-2.685037864377989,-0.0008950126214593,3
7,-3.273487104088732,-0.0010911623680295,3
8,-2.9552086811900864,-0.0009850695603966,3
9,-3.004587831367779,-0.0010015292771225,3
10,-5.269462539812977,-0.0017564875132709,3
11,-4.246148185633063,-0.0014153827285443,3
12,-4.104093549112119,-0.0013680311830373,3
13,-4.649634186047289,-0.0015498780620157,3
14,-6.156516712800446,-0.0020521722376001,3
15,-9.910110600678571,-0.0033033702002261,3
16,-17.662925045269876,-0.0058876416817566,3
17,-17.93716330246441,-0.0059790544341548,3
18,-19.77017782974342,-0.0065900592765811,3
19,-19.81554507568777,-0.0066051816918959,3
20,-20.985009786386584,-0.0069950032621288,3
21,-24.697462454968186,-0.0082324874849893,3
22,-32.37603062065139,-0.0107920102068837,3
23,-42.47208337775182,-0.0141573611259172,3
24,-32.186508965421815,-0.0107288363218072,3
25,-19.14897903744813,-0.0063829930124827,3
26,-12.915242619086849,-0.0043050808730289,3
27,-36.321692820410256,-0.0121072309401367,3
28,-25.756848735510264,-0.00858561624517,3
29,-34.054950786527804,-0.0113516502621759,3
30,-35.30720308429809,-0.011769067694766,3
31,-45.9609630224623,-0.0153203210074874,3
32,-45.99780307673488,-0.0153326010255782,3
33,-23.053170934833616,-0.0076843903116112,3
34,-24.588100856586696,-0.0081960336188622,3
35,-31.20848323024286,-0.0104028277434142,3
36,-32.83494305509353,-0.0109449810183645,3
37,-34.37014936979468,-0.0114567164565982,3
38,-32.83325554394958,-0.0109444185146498,3
39,-33.33937501367948,-0.0111131250045598,3
40,-30.791425616088247,-0.010263808538696,3
41,-38.1885753609828,-0.0127295251203276,3
42,-41.77847731528854,-0.0139261591050961,3
43,-35.59058052341148,-0.0118635268411371,3
44,-55.44442821646479,-0.0184814760721549,3
45,-60.540686026240245,-0.0201802286754134,3
46,-52.877548964173165,-0.0176258496547243,3
47,-58.03125327555265,-0.0193437510918508,3
48,-52.38103139598968,-0.0174603437986632,3
49,-62.05889128324802,-0.020686297094416,3
50,-59.23888376463194,-0.0197462945882106,3
51,-74.18295576375623,-0.024727651921252,3
52,-71.62319478935225,-0.0238743982631174,3
53,-78.29524027523505,-0.0260984134250783,3
54,-86.33316675826082,-0.0287777222527536,3
55,-78.89551605004998,-0.0262985053500166,3
56,-95.19648321299394,-0.0317321610709979,3
57,-109.55146930438956,-0.0365171564347965,3
58,-114.46687057734972,-0.0381556235257832,3
59,-109.7492351397434,-0.0365830783799144,3
60,-122.32678543333412,-0.0407755951444447,3
61,-101.57994000726946,-0.0338599800024231,3
62,-96.01738133565316,-0.032005793778551,3
63,-84.13539082404124,-0.0280451302746804,3
64,-85.18952542091604,-0.0283965084736386,3
65,-93.8189327599748,-0.0312729775866582,3
66,-87.87581342358565,-0.0292919378078618,3
67,-93.72913553748567,-0.0312430451791618,3
68,-105.67129567598369,-0.0352237652253278,3
69,-122.67174896878402,-0.0408905829895946,3
70,-116.71870164403995,-0.0389062338813466,3
71,-136.0142842310892,-0.0453380947436964,3
72,-131.05412313743946,-0.0436847077124798,3
73,-147.98827013964777,-0.0493294233798825,3
74,-122.03916928160164,-0.0406797230938672,3
75,-116.13183285255344,-0.0387106109508511,3
76,-113.82730199534532,-0.0379424339984484,3
77,-100.54771023699298,-0.0335159034123309,3
78,-107.37287298777493,-0.0357909576625916,3
79,-127.08163394573472,-0.0423605446485782,3
80,-134.91808029031108,-0.0449726934301037,3
81,-161.25482073790934,-0.0537516069126364,3
82,-168.5746560086423,-0.0561915520028807,3
83,-156.36113447313093,-0.0521203781577103,3
84,-145.26571673704112,-0.0484219055790137,3
85,-158.84981040907266,-0.0529499368030242,3
86,-161.56151666128707,-0.0538538388870956,3
87,-168.13992980651324,-0.0560466432688377,3
88,-184.70696658897813,-0.0615689888629927,3
89,-171.8913160806029,-0.0572971053602009,3
90,-159.1866056172194,-0.0530622018724064,3
91,-146.44062396389316,-0.0488135413212977,3
92,-138.90141218000252,-0.0463004707266675,3
93,-146.5727083478723,-0.0488575694492907,3
94,-138.81026271201313,-0.046270087570671,3
95,-130.29785196469928,-0.0434326173215664,3
96,-102.35159432242028,-0.0341171981074734,3
97,-118.80486120710276,-0.0396016204023675,3
98,-10.448683938327015,-0.003482894646109,3
99,-96.36917148303752,-0.0321230571610125,3
100,416.1716334282631,0.138723877809421,3
101,55.08542166694017,0.0183618072223133,3
102,-68.36223473243516,-0.0227874115774783,3
103,-84.2449408697811,-0.0280816469565937,3
104,-130.98848718802316,-0.0436628290626743,3
105,-135.60887352570984,-0.0452029578419032,3
106,-133.00619686070408,-0.044335398953568,3
107,-148.35425800502156,-0.0494514193350071,3
108,-169.39156671727983,-0.0564638555724266,3
109,-167.837176296414,-0.055945725432138,3
110,-196.79373530000623,-0.0655979117666687,3
111,-221.94489868170265,-0.0739816328939008,3
112,-216.10579015060748,-0.0720352633835358,3
113,-187.43141159523813,-0.0624771371984127,3
114,-173.36265088685187,-0.0577875502956172,3
115,-180.36886526116996,-0.0601229550870566,3
116,-178.29265423511342,-0.0594308847450378,3
117,-236.89936567457076,-0.0789664552248569,3
118,-211.27806325982328,-0.0704260210866077,3
119,121.51680594472684,0.0405056019815756,3
120,-225.9928905929362,-0.0753309635309787,3
121,475.3493568521904,0.1584497856173967,3
122,-145.352307042908,-0.0484507690143026,3
123,-85.70573197436052,-0.0285685773247868,3
124,-59.31614864984224,-0.0197720495499474,3
125,-66.75676956081134,-0.0222522565202704,3
126,-78.83397975335417,-0.026277993251118,3
127,-86.4402453633407,-0.0288134151211135,3
128,-91.41476570906416,-0.030471588569688,3
129,-90.9103496755892,-0.030303449891863,3
130,-70.91792628091206,-0.023639308760304,3
131,-177.56435275559838,-0.0591881175851994,3
132,-186.74454220242217,-0.0622481807341407,3
133,-116.04262217139318,-0.038680874057131,3
134,-109.76892943290528,-0.0365896431443017,3
135,-64.28967538956043,-0.0214298917965201,3
136,-92.85991451307582,-0.0309533048376919,3
137,-82.83449348271142,-0.0276114978275704,3
138,-133.24077220064672,-0.0444135907335489,3
139,-141.82233862171643,-0.0472741128739054,3
140,445.5605485857509,0.1485201828619169,3
141,-134.22859585635013,-0.04474286528545,3
142,-114.120000403265,-0.0380400001344216,3
143,824.8363097768823,0.2749454365922941,3
144,812.9399188345378,0.2709799729448459,3
145,803.6186420179828,0.2678728806726609,3
146,826.9232251822426,0.2756410750607475,3
147,776.356484005874,0.2587854946686246,3
148,826.3813705600173,0.2754604568533391,3
149,680.9833431548994,0.2269944477182998,3
150,713.3480796251118,0.2377826932083706,3
151,785.7624975697986,0.2619208325232662,3
152,872.9182490546976,0.2909727496848992,3
153,203.85859345748088,0.0679528644858269,3
154,757.0834992742679,0.252361166424756,3
155,884.368144674491,0.2947893815581636,3
156,764.4508972606496,0.2548169657535499,3
157,714.0318890650316,0.2380106296883438,3
158,633.7177951185635,0.2112392650395211,3
159,661.2253314684153,0.2204084438228051,3
160,664.96483661727,0.22165494553909,3
161,707.9564593438218,0.2359854864479406,3
162,761.1435061699984,0.2537145020566661,3
163,296.0086927552296,0.0986695642517431,3
164,778.1628709285073,0.2593876236428358,3
165,732.7998370313198,0.2442666123437732,3
166,794.0289954096414,0.2646763318032138,3
167,477.2460573295675,0.1590820191098558,3
168,825.8943638320214,0.2752981212773405,3
169,793.2713569702728,0.2644237856567576,3
170,802.0265984817293,0.2673421994939097,3
171,752.1163035310741,0.250705434510358,3
172,791.4847251767834,0.2638282417255945,3
173,787.2094113968051,0.2624031371322683,3
174,544.1316365226749,0.1813772121742249,3
175,50.31558604993271,0.0167718620166442,3
176,380.1595719296518,0.1267198573098839,3
177,808.6975756586631,0.2695658585528877,3
178,110.66655386153998,0.0368888512871799,3
179,755.6697350004205,0.2518899116668068,3
180,420.8646313804987,0.1402882104601662,3
181,820.4975218324126,0.2734991739441375,3
182,780.8013203564363,0.2602671067854787,3
183,771.2891397310883,0.2570963799103627,3
184,763.6728844631526,0.2545576281543842,3
185,769.9199053356889,0.2566399684452296,3
186,731.8657949298928,0.2439552649766309,3
187,777.1091981009691,0.2590363993669897,3
188,776.6586419374053,0.2588862139791351,3
189,798.9743453024772,0.2663247817674924,3
190,798.093800009906,0.2660312666699687,3
191,787.9254285726923,0.2626418095242308,3
