epoch,score,avg_reward_per_step,num_episodes
0,-0.794647002,-0.000264882,3
1,-0.685667315,-0.000228556,3
2,-0.310899907,-0.000103633,3
3,-0.224208683,-7.47e-05,3
4,-0.439241625,-0.000146414,3
5,-0.630830594,-0.000210277,3
6,-1.228831045,-0.00040961,3
7,-0.910711245,-0.00030357,3
8,-0.944537268,-0.000314846,3
9,-0.819950173,-0.000273317,3
10,0.09003664,3e-05,3
11,-0.534607839,-0.000178203,3
12,-0.857850884,-0.00028595,3
13,-0.64528713,-0.000215096,3
14,-1.368684204,-0.000456228,3
15,-2.458272494,-0.000819424,3
16,-1.62312604,-0.000541042,3
17,-1.963138131,-0.000654379,3
18,-2.437259024,-0.00081242,3
19,-4.38142752,-0.001460476,3
20,-4.472408975,-0.001490803,3
21,-3.875535599,-0.001291845,3
22,-3.873833874,-0.001291278,3
23,-3.516251554,-0.001172084,3
24,-9.364338449,-0.003121446,3
25,-11.31734437,-0.003772448,3
26,-8.03917829,-0.002679726,3
27,-7.542156783,-0.002514052,3
28,-10.14007301,-0.003380024,3
29,-10.2241662,-0.003408055,3
30,83.46710943,0.02782237,3
31,-11.92202506,-0.003974008,3
32,7.220153919,0.002406718,3
33,-11.040701,-0.003680234,3
34,-12.21142671,-0.004070476,3
35,-9.696106043,-0.003232035,3
36,-8.532912506,-0.002844304,3
37,-7.22318556,-0.002407729,3
38,-8.166994386,-0.002722331,3
39,-10.19793015,-0.00339931,3
40,-9.536072079,-0.003178691,3
41,-7.099289874,-0.00236643,3
42,-4.764575497,-0.001588192,3
43,-6.584552116,-0.002194851,3
44,-5.421809495,-0.00180727,3
45,-6.208539343,-0.002069513,3
46,-7.217772729,-0.002405924,3
47,-9.766544367,-0.003255515,3
48,-11.3092341,-0.003769745,3
49,-11.91207456,-0.003970692,3
50,-10.2277469,-0.003409249,3
51,-9.814216088,-0.003271405,3
52,-8.254193726,-0.002751398,3
53,-8.692330495,-0.002897443,3
54,-11.74282876,-0.003914276,3
55,-11.15295958,-0.003717653,3
56,-11.0171994,-0.0036724,3
57,-10.80917697,-0.003603059,3
58,-13.62988159,-0.004543294,3
59,-13.95360856,-0.004651203,3
60,-13.70271489,-0.004567572,3
61,-14.15670874,-0.004718903,3
62,-10.59495782,-0.003531653,3
63,-7.439645579,-0.002479882,3
64,-6.738060901,-0.00224602,3
65,-8.699482123,-0.002899827,3
66,-6.970511538,-0.002323504,3
67,-4.230801124,-0.001410267,3
68,137.2623199,0.045754107,3
69,245.486864,0.081828955,3
70,325.440278,0.108480093,3
71,227.5174602,0.075839153,3
72,203.1405321,0.067713511,3
73,-1.920397629,-0.000640133,3
74,-1.544228431,-0.000514743,3
75,-1.361189401,-0.00045373,3
76,133.5734861,0.044524495,3
77,-0.917613643,-0.000305871,3
78,22.58242568,0.007527475,3
79,7.883923396,0.002627974,3
80,0.985413026,0.000328471,3
81,232.5764708,0.07752549,3
82,59.42761264,0.019809204,3
83,77.89329576,0.025964432,3
84,1.488678078,0.000496226,3
85,195.7987196,0.06526624,3
86,332.1562623,0.110718754,3
87,292.6270111,0.097542337,3
88,384.5447912,0.128181597,3
89,545.3003571,0.181766786,3
90,531.0686596,0.177022887,3
91,401.8638595,0.13395462,3
92,363.7455978,0.121248533,3
93,351.4003984,0.117133466,3
94,397.1493638,0.132383121,3
95,256.1420101,0.08538067,3
96,-2.030361144,-0.000676787,3
97,334.0640838,0.111354695,3
98,172.9505081,0.057650169,3
99,-10.6223035,-0.003540768,3
100,-16.377983,-0.005459328,3
101,-31.9420944,-0.010647365,3
102,-37.2908019,-0.012430267,3
103,-20.39970158,-0.006799901,3
104,-41.94398581,-0.013981329,3
105,-40.36926193,-0.013456421,3
106,-18.94270422,-0.006314235,3
107,-8.690318319,-0.002896773,3
108,-31.00668881,-0.010335563,3
109,134.6626725,0.044887558,3
110,298.1607121,0.099386904,3
111,267.9074711,0.08930249,3
112,183.1959509,0.061065317,3
113,122.6619021,0.040887301,3
114,206.3756937,0.068791898,3
115,178.1061904,0.05936873,3
116,129.3482393,0.04311608,3
117,89.35257294,0.029784191,3
118,95.3558489,0.031785283,3
119,96.62760618,0.032209202,3
120,120.8391492,0.040279716,3
121,141.0168904,0.04700563,3
122,60.64702523,0.020215675,3
123,75.53630955,0.02517877,3
124,96.16281609,0.032054272,3
125,122.1972721,0.040732424,3
126,99.95022421,0.033316741,3
127,144.6063082,0.048202103,3
128,436.7184674,0.145572822,3
129,425.9687824,0.141989594,3
130,366.576064,0.122192021,3
131,445.6477687,0.148549256,3
132,267.7422122,0.089247404,3
133,252.347385,0.084115795,3
134,199.7056508,0.06656855,3
135,136.1082249,0.045369408,3
136,154.752677,0.051584226,3
137,167.6465796,0.055882193,3
138,113.164745,0.037721582,3
139,115.4379757,0.038479325,3
140,107.423021,0.035807674,3
141,217.165737,0.072388579,3
142,150.0930269,0.050031009,3
143,392.8134156,0.130937805,3
144,512.5891852,0.170863062,3
145,750.0834583,0.250027819,3
146,581.7201902,0.19390673,3
147,624.0630148,0.208021005,3
148,531.8246259,0.177274875,3
149,605.5035433,0.201834514,3
150,486.3812707,0.16212709,3
151,407.4335154,0.135811172,3
152,395.0406892,0.13168023,3
153,142.0776715,0.047359224,3
154,150.8928823,0.050297627,3
155,178.7806643,0.059593555,3
156,334.0195629,0.111339854,3
157,241.6616163,0.080553872,3
158,316.5034963,0.105501165,3
159,206.6303162,0.068876772,3
160,137.9713192,0.04599044,3
161,68.42744434,0.022809148,3
162,51.87718676,0.017292396,3
163,-257.7953139,-0.085931771,3
164,-42.40841605,-0.014136139,3
165,-15.16208668,-0.005054029,3
166,73.36936492,0.024456455,3
167,587.8783934,0.195959464,3
168,360.3435306,0.12011451,3
169,314.8485298,0.10494951,3
170,88.35988977,0.029453297,3
171,108.8153132,0.036271771,3
172,157.5758895,0.052525296,3
173,205.5769063,0.068525635,3
174,-98.89115552,-0.032963719,3
175,302.4400242,0.100813341,3
176,252.2490239,0.084083008,3
177,410.3460135,0.136782004,3
178,892.232901,0.297410967,3
179,606.9235113,0.202307837,3
180,624.1498135,0.208049938,3
181,59.71433493,0.019904778,3
182,124.5826158,0.041527539,3
183,83.58974757,0.027863249,3
184,-64.51929464,-0.021506432,3
185,-58.84725288,-0.019615751,3
