epoch,score,avg_reward_per_step,num_episodes
0,-0.794647002,-0.000264882,3
1,-0.753259041,-0.000251086,3
2,-0.169719585,-5.66e-05,3
3,-0.03875111,-1.29e-05,3
4,-0.507535042,-0.000169178,3
5,-0.95582685,-0.000318609,3
6,-1.467240436,-0.00048908,3
7,-0.862110975,-0.00028737,3
8,-0.818724793,-0.000272908,3
9,-1.028154376,-0.000342718,3
10,-0.491597663,-0.000163866,3
11,-1.358581655,-0.000452861,3
12,-1.174365873,-0.000391455,3
13,-1.406384134,-0.000468795,3
14,-1.505701108,-0.0005019,3
15,-1.657211758,-0.000552404,3
16,-1.602950641,-0.000534317,3
17,-2.038103519,-0.000679368,3
18,-3.338435392,-0.001112812,3
19,-3.283806885,-0.001094602,3
20,-3.714697718,-0.001238233,3
21,-3.078655864,-0.001026219,3
22,-4.515708414,-0.001505236,3
23,-4.165544475,-0.001388515,3
24,-3.898153786,-0.001299385,3
25,-3.626248756,-0.00120875,3
26,-4.708015557,-0.001569339,3
27,-5.403760854,-0.001801254,3
28,-5.598472642,-0.001866158,3
29,-6.078127519,-0.002026043,3
30,-5.308224554,-0.001769408,3
31,-5.975086574,-0.001991696,3
32,-6.001950584,-0.00200065,3
33,-6.242803753,-0.002080935,3
34,-6.573091445,-0.00219103,3
35,-6.272958046,-0.002090986,3
36,-6.270642739,-0.002090214,3
37,-6.567238166,-0.002189079,3
38,-7.298193232,-0.002432731,3
39,-7.946466467,-0.002648822,3
40,-8.756410096,-0.002918803,3
41,-10.0049041,-0.003334968,3
42,-8.929987928,-0.002976663,3
43,-8.090303435,-0.002696768,3
44,-8.095384544,-0.002698462,3
45,-7.296929934,-0.00243231,3
46,-7.416074733,-0.002472025,3
47,-5.562304338,-0.001854101,3
48,-5.195228416,-0.001731743,3
49,-5.64391683,-0.001881306,3
50,-6.617496816,-0.002205832,3
51,-6.91718585,-0.002305729,3
52,-5.876962444,-0.001958987,3
53,-5.543564633,-0.001847855,3
54,-5.125667406,-0.001708556,3
55,-5.107764382,-0.001702588,3
56,-5.524840053,-0.001841613,3
57,-5.985944513,-0.001995315,3
58,-6.710996337,-0.002236999,3
59,-5.742393214,-0.001914131,3
60,-6.268683721,-0.002089561,3
61,-6.611716841,-0.002203906,3
62,-6.449484171,-0.002149828,3
