epoch,score,avg_reward_per_step,num_episodes
0,64.4178045,0.031149809,28
1,100.039784,0.048281749,34
2,75.4205087,0.036558657,47
3,54.50019773,0.026303184,63
4,48.5240511,0.02349833,71
5,46.6073116,0.022702051,74
6,50.68058608,0.024471553,70
7,142.4135509,0.069267291,29
8,172.3144478,0.0826052,26
9,179.2861451,0.087032109,25
10,179.2542445,0.087143532,25
11,179.9797918,0.087411264,25
12,178.1439289,0.086603757,25
13,178.8598646,0.086740962,25
14,179.4175218,0.086758956,25
15,178.2584693,0.08670159,25
16,176.280621,0.08569792,25
17,175.8264302,0.085104758,25
18,176.037513,0.084878261,25
19,175.7678577,0.084059234,25
20,173.6700427,0.081688637,25
21,175.3342405,0.082549077,25
22,173.7626791,0.08374105,24
23,173.1008927,0.083664037,24
24,172.9650812,0.083679285,24
25,173.3320321,0.081683333,25
26,173.8121424,0.082336401,25
27,173.9045678,0.082890642,25
28,173.4528893,0.082361296,25
29,174.4035653,0.083406774,25
30,175.8150033,0.085596399,25
31,179.1615876,0.087310715,25
32,176.7315315,0.08616847,25
33,175.3186932,0.085521314,25
34,176.4954612,0.08605337,25
35,177.0798633,0.086380421,25
36,176.2746667,0.086029608,25
37,175.9774532,0.085884555,25
38,179.029235,0.087331334,25
39,175.1197422,0.085382614,25
40,174.6719892,0.085164305,25
41,175.3032077,0.084851504,25
42,175.7630535,0.085696272,25
43,177.2763492,0.083384924,26
44,178.4036758,0.086941362,25
45,180.9739618,0.087808812,25
46,180.0839514,0.087674757,25
47,183.8042333,0.08836742,25
48,182.6870227,0.088297256,25
49,181.997683,0.088091812,25
50,181.8003951,0.087953747,25
51,181.9624237,0.087947039,25
52,181.9920917,0.088046488,25
53,182.2603273,0.088048467,25
54,180.6768397,0.08787784,25
55,178.8705133,0.083976767,26
56,181.3053793,0.08801232,25
57,183.4955012,0.08838897,25
58,185.8869613,0.0888561,25
59,183.2759015,0.088368323,25
60,188.8887158,0.089435945,25
61,190.9365055,0.089767986,25
62,190.1176626,0.089678143,25
63,191.4429422,0.089963789,25
64,192.923173,0.09387989,24
65,193.6539972,0.094098152,24
66,198.4518166,0.094862245,24
67,203.5679954,0.095977367,24
68,212.8473769,0.102134058,23
69,238.0243915,0.111539078,22
70,262.431509,0.127455808,20
71,267.1932121,0.128273266,20
72,271.78935,0.129054772,20
73,276.4813225,0.129620873,20
74,276.6775173,0.129530673,20
75,281.5259161,0.137262758,19
76,284.0257187,0.138077646,19
77,285.0052046,0.138621208,19
78,289.2291498,0.138852208,19
79,292.6804889,0.139637638,19
80,294.4614125,0.140152981,19
81,295.5803945,0.140484978,19
82,294.0548492,0.140494433,19
83,301.6284582,0.141476763,19
84,305.5294578,0.142106725,19
85,312.9153823,0.151239914,18
86,312.6829439,0.15134702,18
87,314.0368943,0.151635391,18
88,309.4035081,0.143508121,19
89,312.4128888,0.151951794,18
90,314.246529,0.152398899,18
91,314.0610789,0.152753443,18
92,319.2825343,0.153575053,18
93,314.1747359,0.153106596,18
94,310.5127609,0.144761194,19
95,312.7784461,0.144871906,19
96,317.0506535,0.15346111,18
97,319.523042,0.153616847,18
98,316.9665158,0.153643488,18
99,322.8653572,0.154259607,18
100,321.2749778,0.154088718,18
101,322.8327961,0.15431778,18
102,322.3498771,0.154308223,18
103,323.7412282,0.154383037,18
104,324.9689943,0.154526388,18
105,324.5002628,0.155114848,18
106,317.0169007,0.154566992,18
107,321.4441371,0.154912837,18
108,322.9303606,0.155105841,18
109,325.717369,0.155473685,18
110,329.2819075,0.15598385,18
111,328.6622844,0.155690329,18
112,325.3208928,0.155507119,18
113,329.9879186,0.156022657,18
114,332.9375057,0.156235338,18
115,336.040414,0.156516262,18
116,336.5769691,0.156547427,18
117,336.5660906,0.156396882,18
118,336.7663217,0.156708386,18
119,336.9459355,0.156282901,18
120,339.9860778,0.165846867,17
121,341.327966,0.166096334,17
122,339.2817939,0.156857048,18
123,340.0519549,0.165959958,17
124,338.5009955,0.156640905,18
125,340.0114088,0.165859224,17
126,339.4917864,0.156736743,18
127,338.8077517,0.156855441,18
128,338.5853935,0.156752497,18
129,340.0423933,0.166036325,17
130,336.641675,0.156577523,18
131,335.0047722,0.156544286,18
132,335.0111099,0.156401078,18
133,336.9802458,0.156734998,18
134,336.5614263,0.156613042,18
135,338.3455994,0.156859341,18
136,337.0561656,0.156697427,18
137,334.4365773,0.156351836,18
138,337.2898824,0.156733217,18
139,336.297631,0.156636065,18
140,335.4209421,0.156738758,18
141,335.2638554,0.156665353,18
142,336.7774185,0.156786508,18
143,335.5075045,0.156705981,18
144,335.3379801,0.156773249,18
145,336.6108387,0.157001324,18
146,337.1273719,0.156730531,18
147,338.0313342,0.1570048,18
148,337.598314,0.157095539,18
149,337.5557751,0.156929696,18
150,338.1781754,0.156927228,18
151,339.1410012,0.157082446,18
152,339.0879012,0.157057851,18
153,336.9224469,0.156854026,18
154,337.9955454,0.156190178,18
155,337.5869119,0.156145658,18
156,337.9253276,0.156519374,18
157,340.3135402,0.164800746,17
158,341.0529526,0.164919223,17
159,340.3360805,0.16521169,17
160,342.4881087,0.164420599,17
161,344.9135851,0.165109423,17
162,343.1667521,0.164825529,17
163,344.9791021,0.165299043,17
164,346.1493317,0.165305316,17
165,342.6235342,0.165040238,17
166,343.2334652,0.165493474,17
167,343.5566523,0.165969397,17
168,342.6718519,0.166023184,17
169,343.4212535,0.166225195,17
170,343.028658,0.16659964,17
171,341.6607368,0.157738106,18
172,342.5770686,0.16670417,17
173,341.9917165,0.166825228,17
