epoch,score,avg_reward_per_step,num_episodes
0,-0.390668135,-0.000130223,3
1,-0.455132616,-0.000151711,3
2,-1.259396799,-0.000419799,3
3,-1.366528493,-0.000455509,3
4,-2.786239651,-0.000928747,3
5,-2.706876624,-0.000902292,3
6,-3.522825567,-0.001174275,3
7,-3.498928489,-0.001166309,3
8,-4.56442824,-0.001521476,3
9,-2.639372663,-0.000879791,3
10,-4.391565656,-0.001463855,3
11,-5.159606782,-0.001719869,3
12,-6.380617326,-0.002126872,3
13,-6.650356802,-0.002216786,3
14,-7.561266922,-0.002520422,3
15,-8.360405072,-0.002786802,3
16,-6.360745525,-0.002120249,3
17,-11.84957984,-0.00394986,3
18,-13.31326928,-0.004437756,3
19,-14.86247741,-0.004954159,3
20,-16.50478043,-0.005501593,3
21,-15.55671694,-0.005185572,3
22,-13.3559738,-0.004451991,3
23,-13.33098372,-0.004443661,3
24,-12.92380786,-0.004307936,3
25,-11.11265695,-0.003704219,3
26,-14.4728446,-0.004824282,3
27,-17.97794371,-0.005992648,3
28,-21.62595192,-0.007208651,3
29,-24.52173253,-0.008173911,3
30,-28.92619329,-0.009642064,3
31,-28.81640436,-0.009605468,3
32,-34.39823931,-0.01146608,3
33,-38.17186113,-0.012723954,3
34,-40.32338216,-0.013441127,3
35,-47.9641332,-0.015988044,3
36,-43.83461637,-0.014611539,3
37,-45.40825844,-0.015136086,3
38,-45.16629077,-0.01505543,3
39,-41.39138459,-0.013797128,3
40,-40.80788496,-0.013602628,3
41,-41.99335545,-0.013997785,3
42,-47.59189993,-0.015863967,3
43,-44.59403154,-0.014864677,3
44,-49.13079099,-0.01637693,3
45,-45.03469192,-0.015011564,3
46,-37.95606535,-0.012652022,3
47,-40.03189229,-0.013343964,3
48,-46.40823506,-0.015469412,3
49,-29.98288159,-0.009994294,3
50,-295.8251451,-0.098608382,3
51,-114.4316876,-0.038143896,3
52,-58.8312451,-0.019610415,3
53,-74.3632586,-0.024787753,3
54,-74.75412774,-0.024918043,3
55,-108.2508347,-0.036083612,3
56,-108.3094234,-0.036103141,3
57,-96.12933883,-0.032043113,3
58,-112.9094844,-0.037636495,3
59,-133.6608563,-0.044553619,3
60,-96.37899665,-0.032126332,3
61,-140.076223,-0.046692074,3
62,-129.5476401,-0.043182547,3
63,-135.9438114,-0.045314604,3
64,-142.7531001,-0.047584367,3
65,-101.1726091,-0.033724203,3
66,-125.262666,-0.041754222,3
67,-133.356864,-0.044452288,3
68,-135.8040132,-0.045268004,3
69,-119.445026,-0.039815009,3
70,-106.2905058,-0.035430169,3
71,-94.75156893,-0.031583856,3
72,-91.86666344,-0.030622221,3
73,-75.00767805,-0.025002559,3
74,-74.30399228,-0.024767997,3
75,-89.27167316,-0.029757224,3
76,-37.35118474,-0.012450395,3
77,-73.25675535,-0.024418918,3
78,-43.6837036,-0.014561235,3
79,-68.87111457,-0.022957038,3
80,-102.7772498,-0.034259083,3
81,-74.85556024,-0.024951853,3
82,-105.5105533,-0.035170184,3
83,-97.87382987,-0.03262461,3
84,-91.30608346,-0.030435361,3
85,-90.06386757,-0.030021289,3
86,-85.92908856,-0.02864303,3
87,-19.27542983,-0.006425143,3
88,164.0369396,0.05467898,3
89,179.7491577,0.059916386,3
90,-58.95459881,-0.019651533,3
91,-54.72871701,-0.018242906,3
92,-83.38634749,-0.027795449,3
93,-91.31797219,-0.030439324,3
94,-47.70162362,-0.015900541,3
95,-54.92628145,-0.01830876,3
96,268.9496873,0.089649896,3
97,216.4660214,0.07215534,3
98,113.3812439,0.037793748,3
99,151.1113912,0.050370464,3
100,84.76173638,0.028253912,3
101,187.0452969,0.062348432,3
102,-33.38987815,-0.011129959,3
103,53.53622878,0.01784541,3
104,-72.49105615,-0.024163685,3
105,183.2279848,0.061075995,3
106,47.40058691,0.015800196,3
107,92.61683406,0.030872278,3
108,-58.8178458,-0.019605949,3
109,123.5816087,0.04119387,3
110,391.0650417,0.130355014,3
111,185.3709452,0.061790315,3
112,212.8844085,0.07096147,3
113,217.6446161,0.072548205,3
114,-49.75961628,-0.016586539,3
115,-58.32739339,-0.019442464,3
116,-63.91733152,-0.021305777,3
117,-75.89313097,-0.02529771,3
118,-63.2710966,-0.021090366,3
119,181.0694628,0.060356488,3
120,716.8019871,0.238933996,3
121,34.13073234,0.011376911,3
122,414.5333357,0.138177779,3
123,-80.40109847,-0.026800366,3
124,-82.00260317,-0.027334201,3
125,-78.44226491,-0.026147422,3
126,-74.55014397,-0.024850048,3
127,-78.65290806,-0.026217636,3
128,-89.83444888,-0.029944816,3
129,-99.7017682,-0.033233923,3
130,-112.2170779,-0.037405693,3
131,-101.6292048,-0.033876402,3
132,-91.12977868,-0.030376593,3
133,-69.35600252,-0.023118668,3
134,227.1713477,0.075723783,3
135,465.4015944,0.155133865,3
136,-18.02748109,-0.00600916,3
137,-61.14382353,-0.020381275,3
138,-214.9570837,-0.071652361,3
139,-227.9614488,-0.07598715,3
140,0.704238876,0.000234746,3
141,-41.04461781,-0.013681539,3
142,255.903541,0.08530118,3
143,-44.30898073,-0.01476966,3
144,-56.19783849,-0.018732613,3
145,-66.61331486,-0.022204438,3
146,-87.05061745,-0.029016872,3
147,-77.31214385,-0.025770715,3
148,-82.39981985,-0.027466607,3
149,-49.58372164,-0.016527907,3
150,-75.89728014,-0.025299093,3
151,-76.15691861,-0.02538564,3
