epoch,score,avg_reward_per_step,num_episodes,Unnamed: 4,Unnamed: 5
0,0.173404641,5.78e-05,3,,
1,-0.736945687,-0.000245649,3,,
2,-0.999018649,-0.000333006,3,,
3,0.004982722,1.66e-06,3,,
4,-1.366369828,-0.000455457,3,,
5,-0.42399578,-0.000141332,3,,
6,-1.966502845,-0.000655501,3,,
7,-1.656588328,-0.000552196,3,,
8,-1.795902006,-0.000598634,3,,
9,-3.046324545,-0.001015442,3,,
10,-6.226968763,-0.002075656,3,,
11,-5.023879024,-0.001674626,3,,
12,-5.905253046,-0.001968418,3,,
13,-6.419640469,-0.00213988,3,,
14,-7.680876531,-0.002560292,3,,
15,-9.857165262,-0.003285722,3,,
16,-7.370949469,-0.002456983,3,,
17,-5.90419061,-0.001968064,3,,
18,-7.055207767,-0.002351736,3,,
19,-7.086487371,-0.002362162,3,,
20,-6.96617321,-0.002322058,3,,
21,-8.28928483,-0.002763095,3,,
22,-9.886215764,-0.003295405,3,,
23,-8.549013417,-0.002849671,3,,
24,-7.887714242,-0.002629238,3,,
25,-9.36347002,-0.003121157,3,,
26,-13.56071403,-0.004520238,3,,
27,-17.44930956,-0.005816437,3,,
28,-18.45351104,-0.00615117,3,,
29,-18.26217871,-0.006087393,3,,
30,-17.88728938,-0.00596243,3,,
31,-15.7212133,-0.005240404,3,,
32,-10.67556492,-0.003558522,3,,
33,-10.74484225,-0.003581614,3,,
34,-10.24111077,-0.003413704,3,,
35,-10.97965415,-0.003659885,3,,
36,-12.6666627,-0.004222221,3,,
37,-12.71927602,-0.004239759,3,,
38,-13.87373937,-0.00462458,3,,
39,-15.87332531,-0.005291108,3,,
40,-15.59319437,-0.005197731,3,,
41,-19.18841977,-0.00639614,3,,
42,-21.20307042,-0.00706769,3,,
43,-20.79117454,-0.006930392,3,,
44,-20.17103923,-0.00672368,3,,
45,-19.89402891,-0.006631343,3,,
46,-18.78405189,-0.006261351,3,,
47,-15.56492197,-0.005188307,3,,
48,-17.0327235,-0.005677575,3,,
49,-19.9522646,-0.006650755,3,,
50,-15.30275202,-0.005100917,3,,
51,-24.61954362,-0.008206515,3,,
52,-15.72808479,-0.005242695,3,,
53,-28.84966154,-0.009616554,3,,
54,-27.04079977,-0.0090136,3,,
55,-28.85363929,-0.00961788,3,,
56,-21.72924669,-0.007243082,3,,
57,-20.43019416,-0.006810065,3,,
58,-31.76153116,-0.010587177,3,,
59,-22.24804281,-0.007416014,3,,
60,-25.2839938,-0.008427998,3,,
61,-13.9576299,-0.004652543,3,,
62,-29.24103946,-0.009747013,3,,
63,-28.47925901,-0.009493086,3,,
64,-29.94289523,-0.009980965,3,,
65,-15.27089216,-0.005090297,3,,
66,-44.5998179,-0.014866606,3,,
