epoch,score,avg_reward_per_step,num_episodes
0,0.065934367,2.2e-05,3
1,-0.570952373,-0.000190317,3
2,-1.107343096,-0.000369114,3
3,-1.067332085,-0.000355777,3
4,-1.365326762,-0.000455109,3
5,-1.138399548,-0.000379467,3
6,-0.749125762,-0.000249709,3
7,-0.461741617,-0.000153914,3
8,-0.6738595,-0.00022462,3
9,-1.520686069,-0.000506895,3
10,-2.403595929,-0.000801199,3
11,-3.653162725,-0.001217721,3
12,-5.11703756,-0.001705679,3
13,-10.22217172,-0.003407391,3
14,-17.26201761,-0.005754006,3
15,-14.51648228,-0.004838827,3
16,-15.21993012,-0.00507331,3
17,-20.45805227,-0.006819351,3
18,-18.15457669,-0.006051526,3
19,-11.96148444,-0.003987161,3
20,-18.29132056,-0.006097107,3
21,-18.9591597,-0.00631972,3
22,-18.63581547,-0.006211938,3
23,-17.80780745,-0.005935936,3
24,-18.3906922,-0.006130231,3
25,-24.75886892,-0.008252956,3
26,-22.722034,-0.007574011,3
27,-15.63778268,-0.005212594,3
28,-13.85307405,-0.004617691,3
29,-15.48757695,-0.005162526,3
30,-19.39091189,-0.006463637,3
31,-15.42164967,-0.00514055,3
32,-16.75633492,-0.005585445,3
33,-17.78529969,-0.005928433,3
34,-16.87537585,-0.005625125,3
35,-14.61100078,-0.004870334,3
36,-16.3168122,-0.005438937,3
37,-13.96086257,-0.004653621,3
38,-12.83977389,-0.004279925,3
39,-13.30328846,-0.004434429,3
40,-14.67268718,-0.004890896,3
41,-14.83602562,-0.004945342,3
42,-15.07456576,-0.005024855,3
43,-14.68690182,-0.004895634,3
44,-17.35078833,-0.005783596,3
45,-18.08048292,-0.006026828,3
46,-16.01685432,-0.005338951,3
47,-13.88498501,-0.004628328,3
48,-15.54390133,-0.0051813,3
49,-20.52813035,-0.00684271,3
50,-20.98025379,-0.006993418,3
51,-27.58743062,-0.00919581,3
52,-19.73083579,-0.006576945,3
53,-34.83627364,-0.011612091,3
54,-30.2709136,-0.010090305,3
55,-17.50659675,-0.005835532,3
56,-24.44439216,-0.008148131,3
57,-22.59331159,-0.007531104,3
58,-37.27746911,-0.012425823,3
59,-47.56011405,-0.015853371,3
60,-44.02581401,-0.014675271,3
61,-38.97420187,-0.012991401,3
62,-52.5544501,-0.01751815,3
63,-56.57687332,-0.018858958,3
64,8.666377729,0.002888793,3
65,215.8314778,0.071943826,3
66,-32.01878062,-0.010672927,3
67,-31.93335437,-0.010644451,3
68,-54.30638638,-0.018102129,3
69,746.125536,0.248708512,3
70,683.7001463,0.227900049,3
